주소,이름,위도,경도,세부분류
서울특별시 서대문구 현저동 통일로 251,서대문형무소역사관,37.574271,126.956071,박물관
서울 강남구 논현2동 서울세관 71번지 서울본부세관 1층,관세박물관,37.5183709,127.034412,박물관
서울특별시 종로구 화동 75-3,세계장신구박물관,37.580936,126.9817903,박물관
서울특별시 종로구 평창길 26-20,세라뮤즈,37.6067767,126.9633659,박물관
서울특별시 성동구 성수동1가 왕십리로 27,서울특별시 수도박물관,37.5506775,127.0426569,박물관
서울특별시 종로구 홍지동 세검정로 209-17,쉼박물관,37.601247,126.9562041,박물관
서울특별시 종로구 삼청동 35-99,실크로드박물관,37.583719,126.9823887,박물관
서울특별시 종로구 청운동 효자로 12,국립고궁박물관,37.5773616,126.9766844,박물관
서울특별시 종로구 평창동 499-3,영인문학관,37.6119175,126.9716568,박물관
서울특별시 서초구 서초동 남부순환로 2572,외교부 외교사료관,37.4834804,127.0308717,박물관
서울특별시 용산구 남영동 이태원로 29,전쟁기념관,37.5366059,126.9771397,박물관
서울특별시 마포구 합정동 토정로 6,천주교 절두산 순교성지,37.5444056,126.9116248,박물관
서울특별시 강남구 영동대로57길 7,대치복지문화회관,37.4999383,127.0669377,문화센터
서울특별시 양천구 목동서로 225 예술인회관,예술인회관,37.5270099,126.8704256,문화센터
서울특별시 종로구 창신동 596-2,동부여성문화센터,37.5768851,127.0098844,문화센터
서울특별시 종로구 율곡로2길 25,동북아시아정보문화센터,37.5743289,126.9804595,문화센터
서울특별시 마포구 대흥동 대흥로20길 28,마포아트센터,37.5497496,126.9455805,문화센터
서울특별시 마포구 마포대로 224,서울특별시교육청 마포평생학습관 아현분관,37.553994,126.9573125,문화센터
서울특별시 중구 명동2가 1,꼬스트홀,37.564585,126.9835829,문화센터
서울특별시 양천구 목동 946-8,목동문화체육센터,37.5427579,126.8690866,문화센터
서울특별시 강남구 테헤란로92길 12-9,한국문화의집,37.5067845,127.0604609,문화센터
서울특별시 종로구 평창동 260-23,미추홀예술진흥회,37.6025322,126.9681269,문화센터
서울특별시 강남구 봉은사로 531,봉은문화센터,37.5152006,127.0574369,문화센터
서울특별시 종로구 계동 계동길 37,북촌문화센터,37.5790313,126.9864082,문화센터
서울특별시 강남구 대치2동 영동대로 416,KT&G 상상아트홀,37.5065419,127.0653161,문화센터
서울특별시 종로구 명륜2가 4,석천문화관,37.5855698,126.9994671,문화센터
서울특별시 성동구 행당동 144-17,성동문화회관,37.5592587,127.0359781,문화센터
서울특별시 성북구 종암동 회기로3길 17,서울문화재단 서울예술치유허브,37.5921727,127.0370778,문화센터
서울특별시 강북구 송중동 도봉로20나길 6,송중문화정보도서관,37.6182711,127.0299121,문화센터
서울특별시 은평구 갈현2동 서오릉로23길 8-5,대한불교조계종 수국사,37.616085,126.9051847,문화센터
서울특별시 양천구 신정동 목동서로 367,양천문화회관,37.5164386,126.8633461,문화센터
서울특별시 용산구 한남동 728-10,용산여성문화회관,37.5389612,127.0020591,문화센터
서울특별시 서초구 잠원동 61-6,잠원복지문화센터,37.5132405,127.0113287,문화센터
서울특별시 강남구 대치동 영동대로 337,써밋갤러리,37.5044768,127.0646407,문화센터
서울특별시 종로구 동호로 406-1 3층,종로풀잎문화센터,37.5705613,127.002241,문화센터
서울특별시 송파구 송파대로38길 4 3층,풀잎문화센터잠실지부,37.5005555,127.1121799,문화센터
서울특별시 구로구 구로동 1125-10,풀잎문화센터구로지부,37.48312,126.9007678,문화센터
서울특별시 강동구 천호동 천중로18길 61,해공체육문화센터,37.5420355,127.1298616,문화센터
서울특별시 강남구 신사동 651-23,호림아트센터,37.5225343,127.0360176,문화센터
서울특별시 마포구 서교동 어울마당로 65,KT&G 상상마당,37.5509155,126.9210433,기타 문화시설
서울특별시 영등포구 양화동 95,선유도공원 카페테리아 나루,37.5433814,126.8996992,기타 문화시설
서울특별시 노원구 중계본동 중계로 181,노원문화예술회관,37.6501995,127.0802507,기타 문화시설
서울특별시 광진구 능동로 216,어린이대공원 돔아트홀,37.549363,127.0818126,기타 문화시설
서울특별시 종로구 이화동 동숭길 122,동숭아트센터,37.583653,127.0036978,기타 문화시설
서울특별시 종로구 수표로18길 22 (관수동),둘로스소극장,37.5692289,126.9907113,기타 문화시설
서울특별시 중구 을지로동 마른내로 47,명보아트홀,37.5646969,126.9931733,기타 문화시설
서울특별시 마포구 하늘공원로 108,반딧불이생태관,37.5674467,126.885455,기타 문화시설
서울특별시 강남구 삼성동 170-5,백암아트홀,37.5105255,127.0658909,기타 문화시설
서울특별시 강남구 대치2동 역삼로 607,그랜드힐 컨벤션(구 벨라지움),37.5060617,127.0668083,기타 문화시설
서울특별시 종로구 원서동 158-1,북촌창우극장,37.5788675,126.9888445,기타 문화시설
서울특별시 마포구 서교동 와우산로 157,소극장 산울림,37.555046,126.9300776,기타 문화시설
서울특별시 중구 저동1가 삼일대로9길 12,삼일로창고극장,37.5634334,126.9879711,기타 문화시설
서울특별시 마포구 서교동 448-23,상설무대우리소리,37.5567112,126.9182197,기타 문화시설
서울특별시 중구 신당동 251-7,서울패션창작스튜디오,37.5669375,127.0120174,기타 문화시설
서울특별시 종로구 평창동 458-8번지,시공아트스페이스,37.6108765,126.9751471,기타 문화시설
서울특별시 종로구 동숭동 동숭길 101,아트센터K,37.5824204,127.0040143,기타 문화시설
서울특별시 종로구 동숭동 1-140,소극장알과핵,37.5798857,127.003688,기타 문화시설
서울특별시 강동구 암사동 116-22,암사어린이극장,37.5634142,127.1333461,기타 문화시설
서울특별시 종로구 명륜2가 창경궁로 258-12,열린극장,37.5836706,127.0003428,기타 문화시설
서울특별시 서대문구 홍은2동 104-1,그림사랑,37.594118,126.9406235,미술관
서울특별시 종로구 삼청동 삼청로 18,금호미술관,37.5774264,126.9799022,미술관
서울특별시 종로구 홍지동 44,김달진미술자료박물관,37.6000164,126.9566332,미술관
서울특별시 종로구 평창동 평창32길 30,김종영미술관,37.6129249,126.9775735,미술관
서울특별시 도봉구 도봉로110다길 5,김콜렉숀,37.645691,127.0348236,미술관
서울특별시 종로구 팔판동 12,김현주갤러리 KHJGALLERY,37.5834553,126.9809555,미술관
서울특별시 종로구 관훈동 103,노화랑,37.5748286,126.9840708,미술관
서울특별시 강남구 신사동 546-7,다도화랑,37.5217181,127.0230919,미술관
서울특별시 종로구 통의동 35-1 대림미술관,대림미술관,37.577459,126.973341,미술관
서울특별시 종로구 관훈동 30-27,우림화랑(대림화랑),37.5741766,126.9858932,미술관
서울특별시 종로구 구기동 56-13,아트 스페이스 풀,37.6063966,126.9591841,미술관
서울특별시 종로구 인사동길 24 (인사동),덕원갤러리,37.5705446,126.9871628,미술관
서울특별시 종로구 견지동 93,동산방화랑,37.572888,126.9833613,미술관
서울특별시 종로구 계동길 103-7,디아갤러리,37.5818847,126.986288,미술관
서울특별시 중구 소공동 세종대로 55,플라토,37.5616036,126.9749464,미술관
서울특별시 종로구 신문로2가 1-116,갤러리 뤼미에르 서울,37.5717686,126.9705359,미술관
서울특별시 종로구 자하문로12길 9,리안갤러리,37.5797836,126.97192,미술관
서울특별시 종로구 관훈동 인사동10길 4,모던화랑,37.5739448,126.9853428,미술관
서울특별시 종로구 관훈동 30-9,모인화랑,37.5743048,126.9857081,미술관
서울특별시 종로구 인사동4길 12,문화서화사,37.5730926,126.9869325,미술관
서울특별시 용산구 한강로2가 43-2,미림화방,37.5326037,126.9715237,미술관
서울특별시 종로구 평창34길 22,백자은갤러리,37.6141743,126.9753545,미술관
서울특별시 용산구 이태원1동 이태원로27길 77,백해영 갤러리,37.5364719,126.9948666,미술관
